127.0.0.1, 2017-02-25 07:01:33, GET, /COL380/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-02-25 07:01:33, GET, /COL380/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-02-25 07:01:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.045000
127.0.0.1, 2017-02-25 07:01:52, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 1.649000
127.0.0.1, 2017-02-25 07:02:12, GET, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 1.046000
127.0.0.1, 2017-02-25 07:02:12, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.111000
127.0.0.1, 2017-02-25 07:02:13, GET, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.234000
127.0.0.1, 2017-02-25 07:02:13, GET, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.132000
127.0.0.1, 2017-02-25 07:02:13, GET, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.206000
127.0.0.1, 2017-02-25 07:02:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.178000
127.0.0.1, 2017-02-25 07:02:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 1.526000
127.0.0.1, 2017-02-25 07:02:54, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.099000
127.0.0.1, 2017-02-25 07:02:55, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.098000
127.0.0.1, 2017-02-25 07:02:56, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.155000
127.0.0.1, 2017-02-25 07:02:56, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.076000
127.0.0.1, 2017-02-25 07:02:56, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.116000
127.0.0.1, 2017-02-25 07:02:57, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.043000
127.0.0.1, 2017-02-25 07:03:17, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.062000
127.0.0.1, 2017-02-25 07:03:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.139000
127.0.0.1, 2017-02-25 07:03:52, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 1.517000
127.0.0.1, 2017-02-25 07:04:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.110000
127.0.0.1, 2017-02-25 07:04:52, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 1.602000
127.0.0.1, 2017-02-25 07:05:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063000
127.0.0.1, 2017-02-25 07:05:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.238000
127.0.0.1, 2017-02-25 07:06:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.080000
127.0.0.1, 2017-02-25 07:06:52, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 1.507000
127.0.0.1, 2017-02-25 07:07:20, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.061000
127.0.0.1, 2017-02-25 07:07:26, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.069000
127.0.0.1, 2017-02-25 07:07:26, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.057000
127.0.0.1, 2017-02-25 07:07:27, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.056000
127.0.0.1, 2017-02-25 07:07:51, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.070000
127.0.0.1, 2017-02-25 07:07:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.242000
127.0.0.1, 2017-02-25 07:08:05, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.068000
127.0.0.1, 2017-02-25 07:08:13, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.060000
127.0.0.1, 2017-02-25 07:08:14, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.064000
127.0.0.1, 2017-02-25 07:08:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046000
127.0.0.1, 2017-02-25 07:08:50, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 0.226000
127.0.0.1, 2017-02-25 07:08:58, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.064000
127.0.0.1, 2017-02-25 07:08:58, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.068000
127.0.0.1, 2017-02-25 07:09:13, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.061000
127.0.0.1, 2017-02-25 07:09:14, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.069000
127.0.0.1, 2017-02-25 07:09:14, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.073000
127.0.0.1, 2017-02-25 07:09:15, POST, /admin/default/edit/COL380/models/db.py, HTTP/1.1, 200, 0.073000
127.0.0.1, 2017-02-25 07:09:50, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.073000
127.0.0.1, 2017-02-25 07:09:51, GET, /COL380/appadmin/hooks, HTTP/1.1, 200, 1.497000
